Date,SENT_ORTHO_RISK,BWsent
197509,4.748618528,-2.31
197510,3.621031218,-2.15
197511,2.7389887,-2.24
197512,2.457596995,-2.28
197601,4.006074014,-2.08
197602,6.394672167,-2.09
197603,6.823552599,-1.98
197604,6.463871085,-1.9
197605,5.843418411,-1.82
197606,5.531132006,-1.72
197607,5.376709317,-1.6
197608,4.534100773,-1.66
197609,3.82776902,-1.67
197610,3.331392066,-1.68
197611,3.13720516,-1.73
197612,4.075551214,-1.62
197701,5.352342947,-1.47
197702,5.482083254,-1.37
197703,5.56859004,-1.31
197704,5.441998446,-1.31
197705,5.480378438,-1.49
197706,5.770748081,-1.49
197707,6.12760385,-1.48
197708,6.185443388,-1.49
197709,6.300199324,-1.49
197710,6.167065309,-1.47
197711,6.619368575,-1.43
197712,6.845461475,-1.37
197801,7.884339828,-1.45
197802,8.559826121,-1.48
197803,9.4942634,-1.43
197804,10.14481482,-1.21
197805,11.49778931,-1.25
197806,12.01729252,-1.26
197807,12.410353,-1.33
197808,14.25189858,-1.28
197809,15.02160471,-1.2
197810,13.2088845,-1.18
197811,13.35112746,-1.13
197812,13.32489438,-1.09
197901,14.77683562,-0.98
197902,14.88415199,-1.03
197903,15.91920849,-1.05
197904,16.48425442,-0.98
197905,16.82275667,-0.9
197906,17.46432825,-0.68
197907,17.25274762,-0.55
197908,17.72780143,-0.42
197909,18.01148199,-0.34
197910,17.81848211,-0.49
197911,18.38286728,-0.45
197912,19.88652363,-0.38
198001,22.45659625,-0.39
198002,24.10882627,-0.35
198003,22.77614001,-0.17
198004,22.94628759,-0.25
198005,22.77033007,-0.02
198006,22.75078569,0.04
198007,23.26315861,0.09
198008,24.52256472,0.02
198009,25.48001381,-0.01
198010,26.58321597,0.02
198011,27.70028675,0.2
198012,27.18817058,0.52
198101,27.29787965,0.63
198102,26.85537055,0.86
198103,26.95439519,0.95
198104,27.35544102,0.88
198105,28.12757564,0.82
198106,27.3901335,0.95
198107,27.49221287,0.83
198108,26.90609678,1
198109,25.89255255,1.15
198110,26.76066399,1.19
198111,25.66392188,1.32
198112,25.06467987,1.48
198201,25.43202983,1.33
198202,24.94612748,1.39
198203,24.82033017,1.5
198204,25.47740462,1.41
198205,25.4342655,1.46
198206,24.95336338,1.42
198207,24.88255636,1.28
198208,23.7704371,1.09
198209,23.15776739,0.94
198210,23.6496723,0.86
198211,24.33549239,0.88
198212,24.36580505,0.87
198301,27.4158752,0.72
198302,27.3966684,0.62
198303,27.42462444,0.46
